city,lat,lng,country,iso2,capital,population,population_proper
Germi,38.998,47.6346,Iran,IR,,30000,30000
Khalkhal,37.6186,48.525,Iran,IR,,40000,40000
Namin,38.4261,48.4825,Iran,IR,,15000,15000
Sareyn,38.1408,48.0736,Iran,IR,,8000,8000
Meshginshahr,38.3983,47.6786,Iran,IR,,73905,73905
Astara,38.4292,48.8728,Iran,IR,,51300,51300
Langarud,37.196,50.1539,Iran,IR,,75000,75000
Fuman,37.229,49.3128,Iran,IR,,27000,27000
Talesh,37.7994,48.9047,Iran,IR,,20000,20000
Siahkal,37.1528,49.8706,Iran,IR,,15000,15000
Rudsar,37.1378,50.2883,Iran,IR,,37000,37000
Astaneh-ye Ashrafiyeh,37.2639,49.9436,Iran,IR,,40000,40000
Bandar-e Anzali,37.4636,49.457,Iran,IR,,144664,144664
Masuleh,37.1581,48.9886,Iran,IR,,554,554
Rezvanshahr,37.5508,49.1375,Iran,IR,,20000,20000
Kermanshah,34.3142,47.065, Iran,IR,admin,946651,946651
Eslamabad-e Gharb,34.1108,46.5308,Iran,IR,,90000,90000
Harsin,34.2722,47.5864,Iran,IR,,58000,58000
Javanrud,34.7961,46.5175,Iran,IR,,45000,45000
Sarpol-e Zahab,34.4611,45.8625,Iran,IR,,35000,35000
Sonqor,34.7836,47.6006,Iran,IR,,40000,40000
Kangavar,34.5042,47.965,Iran,IR,,48000,48000
Paveh,35.0436,46.3564,Iran,IR,,25000,25000
Qasr-e Shirin,34.5156,45.5797,Iran,IR,,20000,20000
Gilan-e Gharb,34.1414,45.9208,Iran,IR,,18000,18000
Sanandaj,35.314,46.9988,Iran,IR,admin,414069,414069
Marivan,35.5161,46.1764,Iran,IR,,95000,95000
Baneh,35.9975,45.885,Iran,IR,,85000,85000
Saqqez,36.2499,46.2731,Iran,IR,,135000,135000
Divandarreh,35.9131,47.0231,Iran,IR,,30000,30000
Bijar,35.8667,47.6058,Iran,IR,,48000,48000
Dehgolan,35.2775,47.4186,Iran,IR,,25000,25000
Qorveh,35.1667,47.8042,Iran,IR,,65000,65000
Kamyaran,34.795,46.935,Iran,IR,,55000,55000
Sarvabad,35.3125,46.3667,Iran,IR,,15000,15000
Shiraz,29.6100,52.5425,Iran,IR,admin,1565572,1565572
Marvdasht,29.8744,52.8025,Iran,IR,,123858,123858
Jahrom,28.5006,53.5600,Iran,IR,,114208,114208
Fasa,28.9383,53.6482,Iran,IR,,110825,110825
Kazerun,29.6194,51.6542,Iran,IR,,96487,96487
Darab,28.7519,54.5444,Iran,IR,,65418,65418
Firuzabad,28.8439,52.5708,Iran,IR,,58284,58284
Abadeh,31.1608,52.6500,Iran,IR,,59273,59273
Larestan,27.6747,54.3400,Iran,IR,,55000,55000
Khonj,27.8911,53.4347,Iran,IR,,25000,25000
Ahvaz,31.3203,48.6692,Iran,IR,admin,1184788,1184788
Abadan,30.3392,48.3043,Iran,IR,,231476,231476
Dezful,32.3812,48.3988,Iran,IR,,264709,264709
Khorramshahr,30.4397,48.1843,Iran,IR,,170976,170976
Masjed Soleyman,31.9364,49.3036,Iran,IR,,113000,113000
Behbahan,30.5959,50.2417,Iran,IR,,122604,122604
Shushtar,32.0453,48.8567,Iran,IR,,101878,101878
Izeh,31.8342,49.8664,Iran,IR,,119399,119399
Andimeshk,32.4617,48.3597,Iran,IR,,135116,135116
Ramhormoz,31.2794,49.6036,Iran,IR,,113282,113282
Bushehr,28.9234,50.8203,Iran,IR,admin,223504,223504
Borazjan,29.2667,51.2167,Iran,IR,,110000,110000
Bandar Ganaveh,29.5792,50.5167,Iran,IR,,64000,64000
Bandar Kangan,27.8353,52.0647,Iran,IR,,45000,45000
Bandar Rig,29.4853,50.6467,Iran,IR,,20000,20000
Ahram,28.8825,51.2742,Iran,IR,,35000,35000
Khormuj,28.6500,51.3800,Iran,IR,,30000,30000
Delvar,28.7675,51.0700,Iran,IR,,15000,15000
Bandar Abbas,27.1832,56.2665,Iran,IR,admin,526648,526648
Minab,27.1467,57.0800,Iran,IR,,73000,73000
Bandar Lengeh,26.5578,54.8800,Iran,IR,,25000,25000
Qeshm,26.9581,56.2719,Iran,IR,,40000,40000
Hajiabad,28.3100,55.9025,Iran,IR,,25000,25000
Jask,25.6539,57.7850,Iran,IR,,15000,15000
Kish,26.5322,53.9867,Iran,IR,,40000,40000
Hormuz,27.0958,56.4611,Iran,IR,,6000,6000
Bastak,27.1989,54.3667,Iran,IR,,22000,22000
Rudan,27.4400,57.1900,Iran,IR,,30000,30000
Kong,26.6011,54.9414,Iran,IR,,20000,20000
Sirjan,29.4514,55.6800,Iran,IR,,324103,324103
Lar,27.6811,54.3400,Iran,IR,,55000,55000
Gachsaran,30.3500,50.8000,Iran,IR,,100000,100000
Kuhchenar,30.2500,51.5000,Iran,IR,,15000,15000
Lamerd,27.3400,53.1800,Iran,IR,,30000,30000
Zahedan,29.4963,60.8629,Iran,IR,admin,587730,587730
Chabahar,25.2919,60.6430,Iran,IR,,106739,106739
Iranshahr,27.2024,60.6848,Iran,IR,,100000,100000
Zabol,31.0335,61.4949,Iran,IR,,130642,130642
Saravan,27.3786,62.3345,Iran,IR,,60000,60000
Nikshahr,26.2261,60.2116,Iran,IR,,13000,13000
Khash,28.2211,61.2158,Iran,IR,,56000,56000
Konarak,25.3606,60.3993,Iran,IR,,20000,20000
Sarbaz,26.6272,61.2614,Iran,IR,,15000,15000
Bampur,27.1941,60.4514,Iran,IR,,13000,13000
Birjand,32.8663,59.2211,Iran,IR,admin,203636,203636
Qaen,33.7265,59.1844,Iran,IR,,40000,40000
